date,Mkt-RF,SMB,HML,RF
2015-01-01,-3.1,-0.59,-3.45,0.0
2015-02-01,6.13,0.61,-1.79,0.0
2015-03-01,-1.11,3.05,-0.38,0.0
2015-04-01,0.59,-2.99,1.8,0.0
2015-05-01,1.37,0.95,-1.11,0.0
2015-06-01,-1.52,2.94,-0.82,0.0
2015-07-01,1.57,-4.17,-4.16,0.0
2015-08-01,-6.02,0.37,2.75,0.0
2015-09-01,-3.06,-2.63,0.55,0.0
2015-10-01,7.75,-1.9,-0.47,0.0
2015-11-01,0.57,3.58,-0.43,0.0
2015-12-01,-2.15,-2.8,-2.57,0.01
2016-01-01,-5.74,-3.4,2.08,0.01
2016-02-01,-0.06,0.73,-0.61,0.02
2016-03-01,6.95,0.75,1.22,0.02
2016-04-01,0.92,0.77,3.22,0.01
2016-05-01,1.78,-0.18,-1.62,0.01
2016-06-01,-0.03,0.6,-1.49,0.02
2016-07-01,3.94,2.45,-1.24,0.02
2016-08-01,0.49,1.17,3.17,0.02
2016-09-01,0.27,2.08,-1.19,0.02
2016-10-01,-2.01,-4.39,4.11,0.02
2016-11-01,4.86,5.6,8.29,0.01
2016-12-01,1.81,0.14,3.47,0.03
2017-01-01,1.94,-1.16,-2.76,0.04
2017-02-01,3.55,-2.15,-1.5,0.04
2017-03-01,0.17,1.13,-3.33,0.03
2017-04-01,1.08,0.66,-2.05,0.05
2017-05-01,1.07,-2.52,-3.82,0.06
2017-06-01,0.79,2.21,1.5,0.06
2017-07-01,1.88,-1.45,-0.23,0.07
2017-08-01,0.18,-1.67,-2.13,0.09
2017-09-01,2.49,4.45,3.15,0.09
2017-10-01,2.26,-1.93,0.13,0.09
2017-11-01,3.12,-0.6,-0.09,0.08
2017-12-01,1.06,-1.32,0.05,0.09
2018-01-01,5.58,-3.16,-1.32,0.11
2018-02-01,-3.64,0.27,-1.1,0.11
2018-03-01,-2.35,4.05,-0.21,0.12
2018-04-01,0.27,1.09,0.53,0.14
2018-05-01,2.66,5.24,-3.14,0.14
